player_id,player_name,player_nickname,jersey_number,country_id,country_name,position_id,position_name,team_name
11675,Moisés Gómez Bordonado,Moi Gómez,6,214,Spain,19,Center Attacking Midfield,Huesca
11676,Jorge Miramón Santagertrudis,Jorge Miramón,24,214,Spain,12,Right Midfield,Huesca
11677,Jorge Pulido Mayoral,Jorge Pulido,14,214,Spain,2,Right Back,Huesca
11678,Luis Ezequiel Ávila,Chimy Ávila,19,11,Argentina,23,Center Forward,Huesca
12554,Serdar Gürler,,21,233,Turkey,16,Left Midfield,Huesca
19396,Lluis Sastre Reus,Lluis Sastre,22,214,Spain,,,Huesca
21399,Pablo Ínsua Blanco,Pablo Ínsua,18,214,Spain,,,Huesca
22332,Roberto Santamaría Cipriain,Roberto Santamaría,13,214,Spain,,,Huesca
3042,Mikel Merino Zazón,Mikel Merino,8,214,Spain,11,Left Defensive Midfield,Real Sociedad
5573,Héctor Alfredo Moreno Herrera,Héctor Moreno,6,147,Mexico,5,Left Center Back,Real Sociedad
6605,Joseba Zaldúa Bengoetxea,Joseba Zaldúa,2,214,Spain,2,Right Back,Real Sociedad
6669,David Zurutuza Veillet,David Zurutuza,17,214,Spain,16,Left Midfield,Real Sociedad
6670,Andoni Gorosabel Espinosa,Andoni Gorosabel,18,214,Spain,,,Real Sociedad
6671,Asier Illarramendi Andonegi,Asier Illarramendi,4,214,Spain,11,Left Defensive Midfield,Real Sociedad
6676,Igor Zubeldia Elorza,Igor Zubeldía,5,214,Spain,9,Right Defensive Midfield,Real Sociedad
6679,Aritz Elustondo Irribaria,Aritz Elustondo,15,214,Spain,3,Right Center Back,Real Sociedad
6685,Mikel Oyarzabal Ugarte,Mikel Oyarzabal,10,214,Spain,12,Right Midfield,Real Sociedad
6693,Raúl Rodríguez Navas,Raúl Navas,22,214,Spain,,,Real Sociedad
6694,Gerónimo Rulli,Gero Rulli,1,11,Argentina,1,Goalkeeper,Real Sociedad
6695,Juan Miguel Jiménez López,Juanmi,7,214,Spain,24,Left Center Forward,Real Sociedad
6704,Theo Bernard François Hernández,Theo Hernández,19,78,France,6,Left Back,Real Sociedad
6885,Kévin Manuel Rodrigues,Kévin Rodrigues,20,183,Portugal,,,Real Sociedad
6899,Rubén Pardo Gutiérrez,Rubén Pardo,14,214,Spain,16,Left Midfield,Real Sociedad
6906,Jon Bautista Orgilles,Jon Bautista,21,214,Spain,16,Left Midfield,Real Sociedad
7069,Miguel Ángel Moyà Rumbo,Miguel Ángel Moyá,13,214,Spain,,,Real Sociedad
16210,Luca Sangalli Fuentes,Luca Sangalli,23,214,Spain,16,Left Midfield,Real Sociedad
