event_id,team_id,player_id,card_id,card_name,team_name,player_name,match_id,season_id,competition_id,season_name,competition_name
0085a955-c073-4b5a-b6ce-a0ae001b098b,206,6581,7,Yellow Card,Deportivo Alavés,Jonathan Rodríguez Menéndez,16275,4,11,2018/2019,La Liga
0591dc98-5a98-46a8-bda4-72d2b8ed694e,322,6778,7,Yellow Card,Eibar,Iván Ramis Barrios,16317,4,11,2018/2019,La Liga
d6daaed7-116a-4fec-8f1c-d96b95ff12f5,217,5211,7,Yellow Card,Barcelona,Jordi Alba Ramos,16317,4,11,2018/2019,La Liga
1ae944d9-2d09-416c-b8cf-39231a7acd08,217,30756,7,Yellow Card,Barcelona,Anssumane Fati,303377,42,11,2019/2020,La Liga
51951505-5a70-4558-b3f0-5d6dec5e5cbf,217,17304,7,Yellow Card,Barcelona,Héctor Junior Firpo Adames,303430,42,11,2019/2020,La Liga
77fde724-ff25-417c-82d3-855a51382526,220,5721,7,Yellow Card,Real Madrid,Daniel Carvajal Ramos,303470,42,11,2019/2020,La Liga
dea7e17d-17e8-47c8-9c13-62b62660dda2,217,5211,7,Yellow Card,Barcelona,Jordi Alba Ramos,303470,42,11,2019/2020,La Liga
474fbe0f-07ed-4ee8-afd2-ee7493377f43,217,5477,7,Yellow Card,Barcelona,Ousmane Dembélé,303473,42,11,2019/2020,La Liga
42d6c8cb-6499-44ca-9058-0d5e65ec881c,217,5246,7,Yellow Card,Barcelona,Luis Alberto Suárez Díaz,303473,42,11,2019/2020,La Liga
6aeccb5f-a538-432a-b9fc-f79ceaf1780b,217,5213,7,Yellow Card,Barcelona,Gerard Piqué Bernabéu,303473,42,11,2019/2020,La Liga
072ec3a0-0268-4da3-bb3c-41fbad81c0ee,217,5477,5,Red Card,Barcelona,Ousmane Dembélé,303473,42,11,2019/2020,La Liga
ead1dd6d-6851-461f-bf47-99bd38fd32ae,217,5203,7,Yellow Card,Barcelona,Sergio Busquets i Burgos,303473,42,11,2019/2020,La Liga
692723de-e83e-4a6d-b958-d9b272033f8b,210,6685,7,Yellow Card,Real Sociedad,Mikel Oyarzabal Ugarte,303479,42,11,2019/2020,La Liga
7ac53659-ad0f-46c1-9c8f-1a58c9e6da3f,209,5217,7,Yellow Card,Celta Vigo,Iago Aspas Juncal,303516,42,11,2019/2020,La Liga
319dc89d-ae11-4d8c-9bdf-de5184b78579,217,5213,7,Yellow Card,Barcelona,Gerard Piqué Bernabéu,303516,42,11,2019/2020,La Liga
c4d87152-e18e-400f-bc31-ebe8091955ef,206,6400,7,Yellow Card,Deportivo Alavés,Aleix Vidal Parreu,303517,42,11,2019/2020,La Liga
3958c5f1-46b0-4868-922e-949b880c60de,206,6626,7,Yellow Card,Deportivo Alavés,Mubarak Wakaso,303517,42,11,2019/2020,La Liga
1634f921-9c50-4b5e-b84d-39db45add33d,217,5492,7,Yellow Card,Barcelona,Samuel Yves Umtiti,303517,42,11,2019/2020,La Liga
1318e465-94f3-4c75-8209-87989ce6d688,205,6599,7,Yellow Card,Leganés,Rubén Salvador Pérez Del Mármol,303532,42,11,2019/2020,La Liga
53e212e6-9886-4c2a-a525-041d502fcf14,1049,8866,7,Yellow Card,Granada,Carlos Fernández Luna,303610,42,11,2019/2020,La Liga
3ad55f15-9140-4f4f-bbeb-92a6bce24b03,214,6758,7,Yellow Card,Espanyol,Víctor Sánchez Mata,303615,42,11,2019/2020,La Liga
044cccb4-490e-4b9b-b60b-ab6d9fcd77c5,214,6754,7,Yellow Card,Espanyol,David López Silva,303615,42,11,2019/2020,La Liga
d9f3034d-0498-4a8f-8376-bcc3ce7fbc16,422,24085,7,Yellow Card,Osasuna,Pervis Josué Estupiñán Tenorio,303634,42,11,2019/2020,La Liga
b0b901a9-722f-4019-a34f-f5b2fb11c899,217,5213,7,Yellow Card,Barcelona,Gerard Piqué Bernabéu,303634,42,11,2019/2020,La Liga
347d8c76-922f-49ce-93bc-f3b87ab8c282,217,17304,7,Yellow Card,Barcelona,Héctor Junior Firpo Adames,303634,42,11,2019/2020,La Liga
5b713987-df31-48ce-888a-ae18a6bfa59e,217,5246,7,Yellow Card,Barcelona,Luis Alberto Suárez Díaz,303664,42,11,2019/2020,La Liga
6bc06cc8-17a2-4452-9526-ec61d36698a4,217,5213,7,Yellow Card,Barcelona,Gerard Piqué Bernabéu,303666,42,11,2019/2020,La Liga
e45f599b-21d1-4ce7-ac2f-38cf72e7b247,217,5203,7,Yellow Card,Barcelona,Sergio Busquets i Burgos,303674,42,11,2019/2020,La Liga
af0cb900-e332-4a2b-a553-516cdaae9926,213,16003,7,Yellow Card,Sevilla,Fernando Francisco Reges,303674,42,11,2019/2020,La Liga
94d8c045-b1fc-4ecb-87f1-fd867044c924,217,5211,7,Yellow Card,Barcelona,Jordi Alba Ramos,303680,42,11,2019/2020,La Liga
a2b0f222-6c8a-4adb-a6d1-890cfced3560,217,5211,7,Yellow Card,Barcelona,Jordi Alba Ramos,303682,42,11,2019/2020,La Liga
beff89c4-062e-48f3-891f-3ce5f6688b56,217,20055,7,Yellow Card,Barcelona,Marc-André ter Stegen,303696,42,11,2019/2020,La Liga
af0ae3f8-2ce5-4c4f-bc40-4bc480f4afa5,217,5213,7,Yellow Card,Barcelona,Gerard Piqué Bernabéu,303696,42,11,2019/2020,La Liga
39197f47-cda5-499f-ac4c-571317c16535,217,5503,7,Yellow Card,Barcelona,Lionel Andrés Messi Cuccittini,303696,42,11,2019/2020,La Liga
d726cd9b-e3d8-493a-8764-d359dc8300b7,322,6707,7,Yellow Card,Eibar,Charles Días Barbosa de Oliveira,303700,42,11,2019/2020,La Liga
ddcd7031-fb34-4a50-8e51-46e75b526039,217,5203,7,Yellow Card,Barcelona,Sergio Busquets i Burgos,303707,42,11,2019/2020,La Liga
18d1ce75-f99d-439e-80db-ca6d3276963b,218,26404,7,Yellow Card,Real Betis,Guido Rodríguez,303707,42,11,2019/2020,La Liga
b94034d6-5970-47f0-a475-00d81f90dbf2,218,2948,6,Second Yellow,Real Betis,Nabil Fekir,303707,42,11,2019/2020,La Liga
