match_id,team_id,formation
3773466,209,4231
3773466,209,4231
3773466,209,4231
3773466,209,4231
3773466,217,4231
3773474,217,3421
3773474,901,352
3773474,217,4141
3773474,217,433
3773477,217,442
3773477,218,4231
3773477,217,442
3773477,218,4231
3773477,218,4231
3773497,220,4141
3773497,217,343
3773497,217,352
3773497,217,352
3773523,217,4231
3773523,210,433
3773523,210,433
3773523,217,433
3773526,217,433
3773526,206,442
3773526,217,433
3773526,206,442
3773547,217,433
3773547,422,442
3773547,217,433
3773547,217,4231
3773552,902,433
3773552,217,433
3773552,902,433
3773552,217,433
3773565,1049,4231
3773565,217,433
3773565,1049,4231
3773565,217,433
3773565,1049,4231
3773571,901,442
3773571,217,3421
3773571,901,442
3773585,217,442
3773585,220,433
3773585,217,352
3773586,217,352
3773586,1049,343
3773586,217,4141
3773586,217,4231
3773587,216,442
3773587,217,4231
3773587,217,4231
3773587,216,442
3773593,217,4231
3773593,222,442
3773593,222,433
3773597,210,343
3773597,217,3421
3773597,217,3421
3773597,210,343
3773597,217,352
3773597,210,343
3773625,213,4231
3773625,217,352
3773625,213,4231
3773631,218,4231
3773631,217,433
3773631,217,4231
3773631,217,4231
3773656,212,352
3773656,217,4231
3773656,217,4231
3773656,212,352
3773656,217,4141
3773660,217,4231
3773660,221,442
3773660,217,4231
3773660,217,343
3773661,217,352
3773661,216,433
3773661,217,352
3773661,217,352
3773665,422,442
3773665,217,352
3773665,217,433
3773672,217,4231
3773672,213,433
3773672,213,433
3773689,222,442
3773689,217,352
3773689,217,352
3773689,222,442
3773695,207,352
3773695,217,352
3773695,207,442
