match_id,team_id,formation
15946,217,442
15946,206,451
15946,217,433
15946,206,442
15946,217,433
15946,217,433
15956,901,41212
15956,217,433
15956,217,442
15956,901,442
15973,217,433
15973,902,442
15973,902,4411
15973,902,4411
15973,217,442
15978,210,442
15978,217,433
15978,217,433
15978,217,433
15978,210,442
15978,217,433
15986,217,433
15986,211,352
15986,217,433
15986,217,41212
15986,211,352
15998,205,32221
15998,217,41221
16010,217,433
16010,215,442
16010,217,4231
16023,207,442
16023,217,433
16029,217,433
16029,213,352
16029,213,32122
16029,213,32122
16056,217,433
16056,218,3412
16056,218,343
16056,217,433
16056,217,4231
16073,212,442
16073,217,442
16073,217,442
16073,217,442
16073,212,442
16073,217,442
16079,217,4141
16079,222,4141
16079,222,4141
16086,214,4231
16086,217,41221
16086,217,41221
16095,221,3412
16095,217,3511
16095,217,3511
16095,221,442
16095,217,3511
16095,221,4411
16109,217,433
16109,209,442
16109,209,4231
16109,217,433
16109,217,433
16120,216,442
16120,217,41221
16120,216,4222
16120,217,41221
16120,216,4222
16131,217,433
16131,322,4231
16131,217,433
16131,217,442
16131,322,4231
16136,217,433
16136,205,343
16136,205,352
16136,217,4231
16149,211,352
16149,217,433
16149,211,41212
16149,217,433
16149,217,433
16157,217,433
16157,207,442
16157,217,41221
16157,207,442
16173,215,4231
16173,217,433
16173,217,433
16173,215,4231
16173,215,4231
16173,215,4411
16182,217,41221
16182,901,3412
16182,217,41221
16182,901,3412
16190,213,42211
16190,217,41221
16190,217,4231
16190,213,42211
16190,213,42211
16190,213,3421
16190,217,4231
16190,217,41221
16196,220,433
16196,217,433
16196,217,433
16196,220,4231
16196,217,433
16205,217,433
16205,360,343
16205,217,4231
16205,360,4141
16205,217,442
16205,217,442
16205,217,4231
16215,218,352
16215,217,442
16215,217,442
16215,218,3412
16215,218,3412
16215,217,442
16231,217,433
16231,214,352
16231,217,433
16240,222,343
16240,217,433
16240,217,433
16248,217,433
16248,212,442
16248,212,41212
16248,212,41212
16248,217,433
16265,217,433
16265,210,433
16265,210,433
16265,217,433
16265,210,433
16275,206,343
16275,217,433
16275,217,433
16275,206,433
16275,206,442
16289,217,433
16289,221,4141
16289,217,433
16289,221,4141
16289,221,4141
16306,217,433
16306,216,442
16306,217,442
16317,322,442
16317,217,433
16317,217,433
303377,217,433
303377,216,442
303377,216,442
303377,217,41212
