match_id,team_id,player_id
6ffaac35-ab68-4095-bd37-78711d58fef2,Jordi Alba Ramos,5211,Barcelona,15946,2018/2019,La Liga
ffa4b27a-0ec9-4b2f-a013-6b5e75c33659,Mubarak Wakaso,6626,Deportivo Alavés,15946,2018/2019,La Liga
a6aed8e3-e2bd-4221-9086-f5dc4720b5a4,Guillermo Alfonso Maripán Loaysa,6855,Deportivo Alavés,15946,2018/2019,La Liga
7fe58d56-cd5a-4685-a1de-a42c116c3de6,Jonathan Rodríguez Menéndez,6581,Deportivo Alavés,15946,2018/2019,La Liga
aa839ada-0f80-4b39-bf61-f1419f2c8e37,Sergio Busquets i Burgos,5203,Barcelona,15946,2018/2019,La Liga
1f53ebba-4e2f-4fe2-a1e3-e787b8287508,Ibai Gómez Pérez,6617,Deportivo Alavés,15946,2018/2019,La Liga
2c1d5cf1-2b7d-4fce-b7e4-383082ba3ac2,Daniel Alejandro Torres Rojas,6839,Deportivo Alavés,15946,2018/2019,La Liga
7ecb2303-c43b-4f8d-89ee-f46671931e75,Manuel Alejandro García Sánchez,6632,Deportivo Alavés,15946,2018/2019,La Liga
c1b05ebb-26ac-45a6-8b2c-c3e629ffb57d,Manuel Alejandro García Sánchez,6632,Deportivo Alavés,15946,2018/2019,La Liga
bfb2e785-c53b-4d82-a553-e4d7f11ffbef,Jonathan Rodríguez Menéndez,6581,Deportivo Alavés,15946,2018/2019,La Liga
bd7ac76d-be09-488d-abaf-55e4cb0191bc,Daniel Alejandro Torres Rojas,6839,Deportivo Alavés,15946,2018/2019,La Liga
8ec5dd0f-5cc7-49c8-a370-c2ea66f0c36f,Víctor Laguardia Cisneros,6615,Deportivo Alavés,15946,2018/2019,La Liga
92447d3c-3efb-41b1-ae93-2a1b66959445,Mubarak Wakaso,6626,Deportivo Alavés,15946,2018/2019,La Liga
dbffc66e-2a13-4ad6-a93f-673875e2e2d8,Borja González Tomás,6566,Deportivo Alavés,15946,2018/2019,La Liga
3bf1c61e-5dca-4233-945e-f13a2896bf5c,Jordi Alba Ramos,5211,Barcelona,15956,2018/2019,La Liga
cc336ede-cb3d-49dd-95c4-e95cb0fd0d20,José Ignacio Martínez García,11298,Real Valladolid,15956,2018/2019,La Liga
c6eb7cfe-7873-4921-a49e-6c9456171389,Philippe Coutinho Correia,3501,Barcelona,15956,2018/2019,La Liga
fd21dbea-5262-48ee-820a-63cb72db9ad8,Enes Ünal,6760,Real Valladolid,15956,2018/2019,La Liga
82348ff8-0292-42c3-a88b-c93b77d1be9d,Borja Fernández Fernández,11294,Real Valladolid,15956,2018/2019,La Liga
9b651e9e-a87d-4fb4-95b0-79f21bfa0e5c,Javier Moyano Lujano,11297,Real Valladolid,15956,2018/2019,La Liga
60eaf0d9-f93e-48d0-94f3-6b538d417b2e,Borja Fernández Fernández,11294,Real Valladolid,15956,2018/2019,La Liga
39d341a5-f71b-4c06-b363-7b62ea647072,Ivan Rakitić,5470,Barcelona,15956,2018/2019,La Liga
a6e4109d-ca03-4ba3-86f7-032060de8407,Rubén Alcaraz Jiménez,11300,Real Valladolid,15956,2018/2019,La Liga
e8ae8f13-abd1-4d0e-98a4-75d893f5da57,Francisco José Olivas Alba,11304,Real Valladolid,15956,2018/2019,La Liga
80dc531f-8a74-4ff2-b843-017e9d03069f,Sergio Gontán Gallardo,6742,Real Valladolid,15956,2018/2019,La Liga
c4e6d9b9-b920-4f20-af20-703455cc6e7a,Sergi Roberto Carnicer,6379,Barcelona,15956,2018/2019,La Liga
b108d3f5-41d8-4677-8fc5-af2937673ffd,Rubén Alcaraz Jiménez,11300,Real Valladolid,15956,2018/2019,La Liga
7604d092-884d-4ed2-bf11-d55ea9eaaca1,Luis Carlos Correia Pinto,6734,Huesca,15973,2018/2019,La Liga
714a8d4a-7a37-47fd-9a79-8ee5fbeabbb7,Jordi Alba Ramos,5211,Barcelona,15973,2018/2019,La Liga
344a34e6-3fd8-4cc5-9cf8-3767356a28ce,Sergio Busquets i Burgos,5203,Barcelona,15973,2018/2019,La Liga
4c25478b-bbda-4ed2-8d17-ecee06d4c818,Moisés Gómez Bordonado,11675,Huesca,15973,2018/2019,La Liga
4fb2cba0-f395-4b4a-8894-0846466939c9,Xabier Etxeita Gorritxategi,6788,Huesca,15973,2018/2019,La Liga
1a761433-a3da-43c5-8c2d-b430d2576166,Gonzalo Julián Melero Manzanares,11669,Huesca,15973,2018/2019,La Liga
e86ffdb9-62ec-42dd-84df-99cdd56770c8,Jorge Pulido Mayoral,11677,Huesca,15973,2018/2019,La Liga
56e78476-43fd-4db3-8941-d41ee454cbf6,Jorge Pulido Mayoral,11677,Huesca,15973,2018/2019,La Liga
cb2dc7eb-aba6-4c01-9f76-0168ac46b0a0,Moisés Gómez Bordonado,11675,Huesca,15973,2018/2019,La Liga
81297509-0546-419e-9824-e1030973322e,Gonzalo Julián Melero Manzanares,11669,Huesca,15973,2018/2019,La Liga
f4b6028a-885f-4d12-bca4-3548eeee523b,Jordi Alba Ramos,5211,Barcelona,15978,2018/2019,La Liga
46be2ee6-6f47-499c-a9df-ba093d962795,Samuel Yves Umtiti,5492,Barcelona,15978,2018/2019,La Liga
3a735851-fb1b-471b-8319-b8433313e7fb,Rafael Alcântara do Nascimento,6998,Barcelona,15978,2018/2019,La Liga
86f80e6a-8f2f-4c69-bfe3-a1f570e6edde,Asier Illarramendi Andonegi,6671,Real Sociedad,15978,2018/2019,La Liga
