event_id,team_id,player_id,defensive,advantage,penalty,team_name,player_name,match_id,season_id,competition_id,season_name,competition_name
b7682dd9-6d46-4788-95f8-72c66cf13cdd,217,5211,False,True,False,Barcelona,Jordi Alba Ramos,15956,4,11,2018/2019,La Liga
728ee6b9-5ea5-4008-bcf8-cf1da20925dc,901,11303,False,False,False,Real Valladolid,Anuar Mohamed Tuhami,15956,4,11,2018/2019,La Liga
a757ecb0-b7d8-4ad9-8334-4b30d38b48a3,901,6742,False,False,False,Real Valladolid,Sergio Gontán Gallardo,15956,4,11,2018/2019,La Liga
b866cbf0-8eb9-45c2-a3db-f43743f85873,901,11300,False,True,False,Real Valladolid,Rubén Alcaraz Jiménez,15956,4,11,2018/2019,La Liga
10f23308-100c-4b06-bd6b-8a640d964288,217,5470,False,False,False,Barcelona,Ivan Rakitić,15973,4,11,2018/2019,La Liga
4235154c-ac24-438c-946f-58c57bc36f09,217,5203,True,False,False,Barcelona,Sergio Busquets i Burgos,15973,4,11,2018/2019,La Liga
8cd20845-85af-4f91-8b81-3e20f8462e38,902,11676,True,False,False,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
fbc93428-816f-45e5-9781-d6817509e0b9,217,5503,False,False,False,Barcelona,Lionel Andrés Messi Cuccittini,15973,4,11,2018/2019,La Liga
0c963f7c-2a00-4734-ab15-d9babc00d3e7,217,3501,False,False,False,Barcelona,Philippe Coutinho Correia,15973,4,11,2018/2019,La Liga
141e8202-b782-41b6-8234-f3d95faa7a6b,217,5503,False,True,False,Barcelona,Lionel Andrés Messi Cuccittini,15973,4,11,2018/2019,La Liga
ca7169fa-6c03-4699-befc-2ae9adc8fb61,217,5246,True,False,False,Barcelona,Luis Alberto Suárez Díaz,15973,4,11,2018/2019,La Liga
200a0cb0-4d8b-47e7-86f4-cccd5b0291e8,217,5477,False,False,False,Barcelona,Ousmane Dembélé,15973,4,11,2018/2019,La Liga
42fcbf45-42aa-40ef-ab83-190265226ba5,902,11677,True,False,False,Huesca,Jorge Pulido Mayoral,15973,4,11,2018/2019,La Liga
b5af1e05-506a-4fe1-ad53-f822580d8c13,902,11673,False,True,False,Huesca,Alejandro Gallar Falguera,15973,4,11,2018/2019,La Liga
684078b0-f055-46c9-b69f-2453611da1ad,217,3501,False,True,False,Barcelona,Philippe Coutinho Correia,15973,4,11,2018/2019,La Liga
43bf7a49-f837-43d8-9873-9119fd7ca3f2,217,5477,True,False,False,Barcelona,Ousmane Dembélé,15973,4,11,2018/2019,La Liga
2f05860a-2752-4805-97c5-8a9864341531,217,5477,False,False,False,Barcelona,Ousmane Dembélé,15973,4,11,2018/2019,La Liga
0193a6b2-332f-4a16-9a6c-c965a5168e7b,902,11676,True,False,False,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
c329d0b1-ed52-454a-9649-fc6c8dccfc2d,217,5503,False,False,False,Barcelona,Lionel Andrés Messi Cuccittini,15973,4,11,2018/2019,La Liga
f1e92e50-b692-450a-a92e-a36a0fdcf0bf,217,5477,False,False,False,Barcelona,Ousmane Dembélé,15973,4,11,2018/2019,La Liga
ccf2aa17-13b4-4a68-8a57-24db8506a613,217,5246,False,False,False,Barcelona,Luis Alberto Suárez Díaz,15973,4,11,2018/2019,La Liga
ab89a7cd-fba6-4da9-9448-5ffee260af8c,902,6734,False,False,False,Huesca,Luis Carlos Correia Pinto,15973,4,11,2018/2019,La Liga
9459e8be-d198-4ea8-8e4d-0a56506e2608,217,5211,False,True,False,Barcelona,Jordi Alba Ramos,15973,4,11,2018/2019,La Liga
f38fcbd8-dcc2-45c6-8871-8eae1f0f62f5,902,11678,False,False,False,Huesca,Luis Ezequiel Ávila,15973,4,11,2018/2019,La Liga
df3af9a7-ac27-4a5b-97f7-aeed6debb84e,217,5246,False,False,True,Barcelona,Luis Alberto Suárez Díaz,15973,4,11,2018/2019,La Liga
91d0cdfe-c07d-48dd-b2ff-959d127ecb4a,210,6669,False,False,False,Real Sociedad,David Zurutuza Veillet,15978,4,11,2018/2019,La Liga
227e9d1c-8397-45e5-9456-13d321d722ee,210,6685,False,False,False,Real Sociedad,Mikel Oyarzabal Ugarte,15978,4,11,2018/2019,La Liga
ddb6af5b-7733-41dc-be56-42a86b867c69,210,6605,True,False,False,Real Sociedad,Joseba Zaldúa Bengoetxea,15978,4,11,2018/2019,La Liga
dd6a416b-810d-47fa-8360-8f2d22a59932,217,6998,False,False,False,Barcelona,Rafael Alcântara do Nascimento,15978,4,11,2018/2019,La Liga
c4e47371-fb23-4ff6-b83e-b428c466039b,217,6379,False,False,False,Barcelona,Sergi Roberto Carnicer,15978,4,11,2018/2019,La Liga
005ded28-f0ec-4d70-906a-f71301e4fd36,217,5211,False,False,False,Barcelona,Jordi Alba Ramos,15978,4,11,2018/2019,La Liga
