event_id,team_id,player_id,replacement_id,replacement_name,outcome_id,outcome_name,team_name,player_name,match_id,season_name,competition_name
2983aae0-6a5d-4acf-aa09-00a7e72381ec,217,6616,5246,Luis Alberto Suárez Díaz,103,Tactical,Barcelona,Munir El Haddadi Mohamed,15998,2018/2019,La Liga
36fbab5a-7b87-4de3-bdaa-83d26a71b878,217,6332,5211,Jordi Alba Ramos,103,Tactical,Barcelona,Thomas Vermaelen,15998,2018/2019,La Liga
6a0f3a4c-e99c-4817-9a86-931bb0e89e14,217,5477,3109,Malcom Filipe Silva de Oliveira,103,Tactical,Barcelona,Ousmane Dembélé,15998,2018/2019,La Liga
02f543a2-6f91-45bb-a15c-831aee897c86,205,16212,6834,Gerard Gumbau Garriga,103,Tactical,Leganés,Óscar Rodríguez Arnaiz,15998,2018/2019,La Liga
ebc2b62e-31c6-44e8-9f16-fb02011ea90a,205,6667,6666,Sabin Merino Zuloaga,102,Injury,Leganés,Mikel Vesga Arruti,15998,2018/2019,La Liga
2d7bc3d9-cbb1-4d6e-8f37-d42fef4e092a,205,6608,3991,Allan Romeo Nyom,103,Tactical,Leganés,Nabil El Zhar,15998,2018/2019,La Liga
7332fc73-3554-4247-b57f-8707db406473,215,6665,11744,Peru Nolaskoain Esnal,102,Injury,Athletic Club,Íñigo Martínez Berridi,16010,2018/2019,La Liga
f175add2-025b-4be6-91e3-7e30dea65884,217,6379,5203,Sergio Busquets i Burgos,103,Tactical,Barcelona,Sergi Roberto Carnicer,16010,2018/2019,La Liga
4e32261a-0096-44b0-a6c9-627c7dced346,217,8206,5503,Lionel Andrés Messi Cuccittini,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16010,2018/2019,La Liga
81002a67-7a04-4049-bc50-69b0eeba3dd8,215,6396,6389,Mikel San José Domínguez,103,Tactical,Athletic Club,Beñat Etxebarria Urkiaga,16010,2018/2019,La Liga
1d60876e-f9af-4f76-9515-f9b6c4918917,215,6393,6394,Aritz Aduriz Zubeldia,103,Tactical,Athletic Club,Iñaki Williams Arthuer,16010,2018/2019,La Liga
e081f927-3bae-4642-8db5-c88354b137f8,217,5477,6616,Munir El Haddadi Mohamed,103,Tactical,Barcelona,Ousmane Dembélé,16010,2018/2019,La Liga
40ce3b2e-bb7d-47a8-bba4-cf84a8e6d339,207,4367,5186,Denis Cheryshev,102,Injury,Valencia,Gonçalo Manuel Ganchinho Guedes,16023,2018/2019,La Liga
d4122257-4790-46c9-b06f-c6ceaae96a7d,207,6401,5718,Rodrigo Moreno Machado,103,Tactical,Valencia,Kevin Gameiro,16023,2018/2019,La Liga
69dbd762-96da-44e2-8bad-7d8a09a55898,207,6589,3437,Francis Joseph Coquelin,103,Tactical,Valencia,Geoffrey Kondogbia,16023,2018/2019,La Liga
c4711876-0aff-4c41-a804-e1a9a4187429,217,3501,5477,Ousmane Dembélé,103,Tactical,Barcelona,Philippe Coutinho Correia,16023,2018/2019,La Liga
f878a401-ad67-4037-a1b9-b26539924b4f,217,11392,6998,Rafael Alcântara do Nascimento,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16023,2018/2019,La Liga
a60c056c-63dc-41be-b005-a659ef3dfcd3,217,5503,5477,Ousmane Dembélé,102,Injury,Barcelona,Lionel Andrés Messi Cuccittini,16029,2018/2019,La Liga
84f4f22a-0cad-44c4-b235-1127caf8d3ff,213,5534,5742,Gabriel Iván Mercado,103,Tactical,Sevilla,Simon Thorup Kjær,16029,2018/2019,La Liga
e4f462f9-6156-491d-9160-225309b83f32,217,11392,6379,Sergi Roberto Carnicer,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16029,2018/2019,La Liga
458a0192-8a33-490c-bb02-bb2c1af86b3f,213,6719,3610,Roque Mesa Quevedo,103,Tactical,Sevilla,Franco Damián Vázquez,16029,2018/2019,La Liga
8c166443-9c81-4e71-b0ee-a6d9a4210828,213,5218,6334,Luis Fernando Muriel Fruto,103,Tactical,Sevilla,André Miguel Valente Silva,16029,2018/2019,La Liga
42796123-6b38-4833-bdc8-58847e8553cd,217,5246,6616,Munir El Haddadi Mohamed,103,Tactical,Barcelona,Luis Alberto Suárez Díaz,16029,2018/2019,La Liga
be640f26-2573-4ffd-896e-06402e3dd81f,217,11392,8206,Arturo Erasmo Vidal Pardo,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16056,2018/2019,La Liga
4b50fe42-9a57-43a4-9c58-305e7893e9ef,217,3109,6616,Munir El Haddadi Mohamed,103,Tactical,Barcelona,Malcom Filipe Silva de Oliveira,16056,2018/2019,La Liga
74cb40e0-7692-4d68-9c4e-fa5f01330d6b,218,6651,6673,Sergio Canales Madrazo,103,Tactical,Real Betis,Joaquín Sánchez Rodríguez,16056,2018/2019,La Liga
c95553b6-0279-4ca2-b59c-3e34c327b59e,217,5203,13599,Carles Aleña Castillo,103,Tactical,Barcelona,Sergio Busquets i Burgos,16056,2018/2019,La Liga
35d994e0-8c3d-4fad-a7b3-63e319156dcc,218,7910,6657,Sergio León Limones,103,Tactical,Real Betis,Lorenzo Jesús Morón García,16056,2018/2019,La Liga
c882103c-64cb-45e4-a6a0-dd48122219f7,218,3313,5687,Takashi Inui,103,Tactical,Real Betis,Giovani Lo Celso,16056,2018/2019,La Liga
d7e7b67a-46b7-415b-9835-33debd69bd3f,217,6379,6998,Rafael Alcântara do Nascimento,103,Tactical,Barcelona,Sergi Roberto Carnicer,16073,2018/2019,La Liga
ef0fb007-282a-48c6-a2e2-998b2e5eae03,212,3245,6841,Víctor Machín Pérez,103,Tactical,Atlético Madrid,Thomas Lemar,16073,2018/2019,La Liga
e3f34476-569d-4c66-a5b3-891146e4bd1e,217,11392,5477,Ousmane Dembélé,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16073,2018/2019,La Liga
6528418d-ecf0-43ec-b8a9-1a909ec51c9c,212,5198,6377,Ángel Martín Correa,102,Injury,Atlético Madrid,Diego da Silva Costa,16073,2018/2019,La Liga
28a35d98-25b8-4752-a7b8-509aac255ce5,217,8206,3109,Malcom Filipe Silva de Oliveira,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16073,2018/2019,La Liga
43aadeb9-19c5-4efc-b8ea-bbcaef6aa5e4,222,6771,5688,Carlos Arturo Bacca Ahumada,103,Tactical,Villarreal,Manuel Trigueros Muñoz,16079,2018/2019,La Liga
c7940c99-c477-488d-9418-ceb764149454,217,8206,13599,Carles Aleña Castillo,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16079,2018/2019,La Liga
8a646934-0bb3-4eb2-a631-c10d271053f6,222,6766,3551,Karl Brillant Toko Ekambi,103,Tactical,Villarreal,Gerard Moreno Balaguero,16079,2018/2019,La Liga
6a304a09-e8b1-4a01-8eba-9d8754b77e03,217,3501,3109,Malcom Filipe Silva de Oliveira,103,Tactical,Barcelona,Philippe Coutinho Correia,16079,2018/2019,La Liga
c0345319-8ce1-4c26-8e21-6bafa5511ff4,222,11386,6753,Daniel Raba Antolín,103,Tactical,Villarreal,Santiago Cazorla González,16079,2018/2019,La Liga
9179529c-7ed3-4a1e-9183-ed730747366e,214,6838,6761,Leonardo Carrilho Baptistão,103,Tactical,Espanyol,Hernán Arsenio Pérez González,16086,2018/2019,La Liga
1e310795-c6c1-46eb-a79b-413ff3cad66d,214,6902,6767,Sergio García De La Fuente,103,Tactical,Espanyol,Óscar Melendo Jiménez,16086,2018/2019,La Liga
c5886f40-08aa-4a58-bdaf-5ec46001c6f6,217,5477,3501,Philippe Coutinho Correia,103,Tactical,Barcelona,Ousmane Dembélé,16086,2018/2019,La Liga
d5d1ce64-ac25-4060-b2b6-a8a8f0230ed5,214,3236,6770,Esteban Félix Granero Molina,103,Tactical,Espanyol,Sergi Darder Moll,16086,2018/2019,La Liga
8c93f4d4-71e0-48b4-8fe9-466b74c8f51a,217,5246,6616,Munir El Haddadi Mohamed,103,Tactical,Barcelona,Luis Alberto Suárez Díaz,16086,2018/2019,La Liga
40746d62-1b41-4a40-b2d4-81cc0f5ec993,217,5470,6609,Denis Suárez Fernández,103,Tactical,Barcelona,Ivan Rakitić,16086,2018/2019,La Liga
43f14d64-c85b-434f-8ec3-b56ce846d09d,217,6332,11392,Arthur Henrique Ramos de Oliveira Melo,103,Tactical,Barcelona,Thomas Vermaelen,16095,2018/2019,La Liga
c16cbefc-7c25-4946-aaeb-be7c997c44b1,221,6678,21147,Borja Mayoral Moya,103,Tactical,Levante UD,Emmanuel Okyere Boateng,16095,2018/2019,La Liga
ee9620dd-95bd-4a88-b31d-e89436cd1098,221,6680,6672,Jorge Andújar Moreno,103,Tactical,Levante UD,Rubén Rochina Naixes,16095,2018/2019,La Liga
79ef9add-0f53-4658-9c6a-a2a7313d2f9f,221,6682,4407,Sanjin Prcić,103,Tactical,Levante UD,Sergio Postigo Redondo,16095,2018/2019,La Liga
d56159bf-e09a-406f-9d0e-2be9c4ab3443,217,8206,3501,Philippe Coutinho Correia,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16095,2018/2019,La Liga
2f482034-e216-44a8-a60a-9d4c5789e175,217,5477,6609,Denis Suárez Fernández,103,Tactical,Barcelona,Ousmane Dembélé,16095,2018/2019,La Liga
deda58b4-5db5-40e8-8977-f294712e9b1c,209,12555,6798,Stanislav Lobotka,103,Tactical,Celta Vigo,Okay Yokuşlu,16109,2018/2019,La Liga
50787e88-aa18-45fe-b839-0901d4c0df8d,209,5217,11389,Francisco José Beltrán Peinado,102,Injury,Celta Vigo,Iago Aspas Juncal,16109,2018/2019,La Liga
1c521582-fe9d-47fa-85d0-47d2c83951db,217,8206,11392,Arthur Henrique Ramos de Oliveira Melo,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16109,2018/2019,La Liga
a43f9bcd-8282-4de0-90e2-4d7bd4de1d49,217,5477,3501,Philippe Coutinho Correia,103,Tactical,Barcelona,Ousmane Dembélé,16109,2018/2019,La Liga
8b6dd6b9-72f8-43b6-904a-0fe3311b3e90,209,3625,5516,Pione Sisto Ifolo Emirmija,103,Tactical,Celta Vigo,Sofiane Boufal,16109,2018/2019,La Liga
07e46032-03f2-4e79-8c2c-9ddd7d3bb1e3,217,5203,13599,Carles Aleña Castillo,103,Tactical,Barcelona,Sergio Busquets i Burgos,16109,2018/2019,La Liga
928c68bb-b32a-456c-924b-f90a28ad1fea,216,4546,6630,Jorge Molina Vidal,103,Tactical,Getafe,Dimitri Foulquier,16120,2018/2019,La Liga
d59b756c-8be6-46cf-8aa5-1e9df7098025,217,8206,5203,Sergio Busquets i Burgos,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16120,2018/2019,La Liga
3e800ea5-8038-4471-abdd-b622b3be4950,216,6611,4712,Samuel Sáiz Alonso,103,Tactical,Getafe,Ángel Luis Rodríguez Díaz,16120,2018/2019,La Liga
8ae1bccd-9b9b-4f69-b011-627f1d59027b,217,5477,3501,Philippe Coutinho Correia,103,Tactical,Barcelona,Ousmane Dembélé,16120,2018/2019,La Liga
1e01bccd-fc7e-4c14-971d-0b1f1b1f2be8,216,6873,18721,Robert Ibáñez Castro,103,Tactical,Getafe,Francisco Portillo Soler,16120,2018/2019,La Liga
b3622a5c-8521-45da-86f9-aa5190b6b1b7,217,11392,13599,Carles Aleña Castillo,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16120,2018/2019,La Liga
c4bb60df-d3e6-409c-9ac6-a57dd78e7a2e,322,17620,8555,Pablo Ezequiel De Blasis,103,Tactical,Eibar,Marc Cucurella Saseta,16131,2018/2019,La Liga
bb2884f1-e400-4085-b43f-d903b6b1d1b2,217,5203,8206,Arturo Erasmo Vidal Pardo,103,Tactical,Barcelona,Sergio Busquets i Burgos,16131,2018/2019,La Liga
b1a4d764-61a5-48aa-b72f-ea44ef0ce040,217,11392,5477,Ousmane Dembélé,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16131,2018/2019,La Liga
1815279b-a244-415a-b17f-284fcafb69e1,322,6712,6711,Enrique García Martínez,103,Tactical,Eibar,Gonzalo Escalante,16131,2018/2019,La Liga
f35c4f11-0ed9-4810-ac6f-891d77e0efb0,217,6379,6374,Nélson Cabral Semedo,103,Tactical,Barcelona,Sergi Roberto Carnicer,16131,2018/2019,La Liga
11b6fda3-90d9-43f7-89d5-f90b75792960,322,6700,13108,Marc Cardona Rovira,103,Tactical,Eibar,Sergio Enrich Ametller,16131,2018/2019,La Liga
