event_id,team_id,player_id,deflection,offensive,save_block,team_name,player_name,match_id,season_id,competition_id,season_name,competition_name
7b819fd4-78eb-492d-a1e3-bf63e59f340b,901,11297,,,,Real Valladolid,Javier Moyano Lujano,15956,4,11,2018/2019,La Liga
2e45b028-4ccb-4754-afa8-8b1174a14920,901,11303,,,,Real Valladolid,Anuar Mohamed Tuhami,15956,4,11,2018/2019,La Liga
6bb8d7b8-ce37-4635-8127-a0981a25a7a6,901,11300,,,,Real Valladolid,Rubén Alcaraz Jiménez,15956,4,11,2018/2019,La Liga
716380eb-cd23-490a-9d1f-2fe4662a1fb8,901,11291,,,,Real Valladolid,Laureano Antonio Villa Suárez,15956,4,11,2018/2019,La Liga
cc5748ba-8fb3-4af4-abe0-5053bbc7999c,901,11303,,,,Real Valladolid,Anuar Mohamed Tuhami,15956,4,11,2018/2019,La Liga
1bdacbcd-a4a9-4049-bfd8-09304da53e2a,901,11300,,,,Real Valladolid,Rubén Alcaraz Jiménez,15956,4,11,2018/2019,La Liga
c9f67efb-90e6-4654-bead-f80ee6f7bab9,901,11304,,,,Real Valladolid,Francisco José Olivas Alba,15956,4,11,2018/2019,La Liga
49511198-c414-40f6-92f4-500d3d05a7c3,217,5470,,,,Barcelona,Ivan Rakitić,15956,4,11,2018/2019,La Liga
e406ac93-2bfd-4e60-b152-d653b30783d1,217,5470,,,,Barcelona,Ivan Rakitić,15956,4,11,2018/2019,La Liga
68fc9948-2286-4b4e-b4c8-a67fe45b70b9,217,3501,,,,Barcelona,Philippe Coutinho Correia,15956,4,11,2018/2019,La Liga
f7670e86-8531-4dd1-9e6a-d3b8182afb19,901,11297,,,,Real Valladolid,Javier Moyano Lujano,15956,4,11,2018/2019,La Liga
7e4dbee3-00c2-442a-9479-40bf5ef8d94d,901,11304,,,,Real Valladolid,Francisco José Olivas Alba,15956,4,11,2018/2019,La Liga
943ac5c2-354b-4f91-8e50-e1e005d50610,901,11298,,,,Real Valladolid,José Ignacio Martínez García,15956,4,11,2018/2019,La Liga
8597f7fb-7d04-42b0-9f7d-e146e7543d20,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15956,4,11,2018/2019,La Liga
