event_id,team_id,player_id,overrun,nutmeg,outcome_id,outcome_name,no touch,team_name,player_name,match_id,season_name,competition_name
d9cbb43c-e1a4-45d1-a4b9-2151657bb62a,206,6581,False,True,9,Incomplete,False,Deportivo Alavés,Jonathan Rodríguez Menéndez,15946,2018/2019,La Liga
cfa071d3-48cc-428b-937e-d9051145b6d7,217,5503,False,False,9,Incomplete,False,Barcelona,Lionel Andrés Messi Cuccittini,15946,2018/2019,La Liga
fd86af79-4dd3-4448-a53a-1b5a4c5895f8,206,6618,False,False,8,Complete,False,Deportivo Alavés,Martín Aguirregabiria Padilla,15946,2018/2019,La Liga
b3cd77a4-4051-434f-943c-4d003221a550,217,5246,False,False,8,Complete,False,Barcelona,Luis Alberto Suárez Díaz,15946,2018/2019,La Liga
68c2a08f-0992-4a77-a158-e0d7b8ff219d,206,6626,False,False,9,Incomplete,False,Deportivo Alavés,Mubarak Wakaso,15946,2018/2019,La Liga
2134e046-d4d1-414a-8243-05c6aa03c7fe,217,6379,False,False,8,Complete,False,Barcelona,Sergi Roberto Carnicer,15946,2018/2019,La Liga
5c3e510f-ce53-4183-b188-a9ee3ea192a4,217,6374,False,False,9,Incomplete,False,Barcelona,Nélson Cabral Semedo,15946,2018/2019,La Liga
059830b2-5ebe-4462-a6e8-7fcb166bb61e,217,6374,False,False,8,Complete,False,Barcelona,Nélson Cabral Semedo,15946,2018/2019,La Liga
586545db-0e9e-45d0-ab26-75918b56958c,217,6374,False,False,9,Incomplete,False,Barcelona,Nélson Cabral Semedo,15946,2018/2019,La Liga
91aad6d5-a1a4-4c45-9b5f-d1bf09b68e8c,206,6581,True,False,9,Incomplete,False,Deportivo Alavés,Jonathan Rodríguez Menéndez,15946,2018/2019,La Liga
5dfa133e-5817-40be-bda4-02d2e48f8dfa,217,5246,False,False,8,Complete,False,Barcelona,Luis Alberto Suárez Díaz,15946,2018/2019,La Liga
2fe7b365-24d4-42e6-b98f-c4163d089bcb,206,6581,False,False,9,Incomplete,False,Deportivo Alavés,Jonathan Rodríguez Menéndez,15946,2018/2019,La Liga
586eb282-b125-4cfc-8682-e3869ef66ba5,217,6374,False,False,9,Incomplete,False,Barcelona,Nélson Cabral Semedo,15946,2018/2019,La Liga
719d15f8-a2cb-41c8-961b-4ef5182e1dd9,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15946,2018/2019,La Liga
1c71bc0c-f4b5-4add-a944-feb4981bc094,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15946,2018/2019,La Liga
466f3f00-4076-4e2e-97dd-2c41c0c24c2a,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15946,2018/2019,La Liga
8048e030-338b-47da-bdcb-def25147865d,206,6581,False,False,9,Incomplete,False,Deportivo Alavés,Jonathan Rodríguez Menéndez,15946,2018/2019,La Liga
